title,text,modified,created,alias,author,bag,caption,cover,date,distributor,emoji,epocha,id,instruments,isrc,pond5,revision,size_album,size_release,tags,tmap.edges,tmap.id,tmap.style,track_bpm,track_init_key,track_number,type,type_content,upc,url_archive,url_download_mp3,url_download_wav,version
008008008,,20260823234114187,20260813103541682,,,,,https://ia600509.us.archive.org/27/items/zqwy_008008008/008008008_banner.webp,,,,,,,,,,,,,,312213b6-4121-41a1-b2b7-24305447e9dd,,,,,,music,5063827578898,,,,
The Remaining One,,20260823234141305,20220209105123000,,,,,,,,,,,,,,,,,,,7a15faef-19ad-463b-80f4-0d5de2b5c20c,,,,,,music,5063827579949,,,,
Алгиз,"### Как возникла руна Алгиз?

#### Алгиз - руна защиты связи между ланями. После декомпозиции сахарной лошади, образовались две лани. Является необходимой для предтечи и связи между белой ланью и тёмной. Ведь для сотворение этой лани были использованы множество нескольких форм влияний. Цикличность порождает рекурсивность, повторность. Это не позволяет сфокусироваться и инертно осмыслять. Души заключенные для связи между белой и темной ланью, защищены от перехвата и подходили для такой работы. Есть бедствие которое несёт белая лань, но помимо неё на гране прибывает - и другая лань. Которая связана с руной одал и также несёт бедствие, эта тёмная лань. Между ними есть защищённая связь для безопасной транспортировки душ. Однако тёмная лань не всегда способна сфокусироваться чтобы наладить связь и не прервать этот цикл передачи. Так, а что же делает тёмная лань по ту сторону? Его суть, подобрать подходящие места для новоприбывших. Пока цикл душ на этой гране, не завершится, его копыта пишут картину этой грани. Это он формирует пустоту, он превращает ничего в то, чем некогда раньше был занята белая лань. И только когда эта душа была отточенна, она возвращается обратно и тем самым насыщает белого, тем чего не хватает тёмному. Лань бежит, стучит копытам: ""цок-цок-цок"" и видит кот. И это не просто кот, а словно анекдот! Вот он - Кузя... Вот так вот…",20221221120118000,20220209224008000,,,,,https://ia600509.us.archive.org/4/items/zqwy_algiz/zqwy_algiz_cover.jpg,,,,,,,,,,,,музыка эмбиент пианино минимализм скандинавия,,af8d8dc9-17de-4d09-9143-fafad97288fe,,,,,text/markdown,music,,https://archive.org/details/zqwy_algiz,,,
Басс Мицва,"#### Пустыня. Песок. Только тишина, и больше ничего. Аксолотль лежит на спине, в небольшой луже воды. Вокруг сухой песок янтарного цвета, словно застывший свет древнего заката. В этот момент ему было уютно, хоть и выглядел так, будто бы умер. Небольшой клочок прохлады на его спине контрастировал с настойчивой теплотой солнечных лучей. Его перистые жабры вяло покачивались, были почти неподвижны. Аксолотль лежал с закрытыми глазами; у него были небольшие тёмные глаза с синеватой обводкой. Закрытый взгляд устремлён прямо в светлое бездонное небо. Для него этот мир сузился до этой капли жизни, окружённой тревогой. Аксолотль, этот удивительный обломок вечности, продолжал лежать на спине, маленький островок розовой жизни посреди янтарной пустыни, глядя в бесконечность. Вокруг пустыня, и данный момент – спокойный момент – идеальный момент – тишина. Единственный звук, нарушитель тишины, – нежный шелест ветра, перекатывающего крупинки песка, создавая крошечные, мимолётные барханы вокруг его временного убежища",20220122103013000,20210823125005000,bm,,,,https://i.pinimg.com/1200x/ba/ae/1d/baae1dafc04b11ec4deb981f6484e5af.jpg,2025-11-14,,,,,,,,,,,днб брейкбит дабстеп идм музыка,,45999f0f-5316-49b8-a89a-982a067489b2,,,,,text/markdown,music,,,,https://archive.org/embed/zqwy_axs/13_zqwy_bass_mitzva/13_zqwy_bass_mitzva.wav,
Бегун,,20221221230001000,20210824002028000,,,,,,,,,,,,,,,,,музыка,,ad354e4c-00cc-46b0-86d9-d5584dbbbbd4,,,,,,music,,https://archive.org/details/zqwy_runner,,,
Бертольд Ауэрбах,"Жанр martial, warsong, neoclassical, drone",20221221202139000,20200810000113000,,,default,,,,,,,,,,,0,,,музыка,,1afa1c53-7478-497d-a113-902248c589ca,,,,,text/markdown,music,,,,,
Бесконечный Коллапс,"





***

#### Вступительный трек альбома (он же первый трек). Эпичный кинематографичный неофолк с восточным оттенком и мистическим настроением. Начинается с гитары, напоминающей ситару. И постепенно магическая, почти заклинательная атмосфера: звучит как тьма, напряжение и лёгкая хаотичность; но при этом трек остаётся мощным, живым. Акустические ударные и электрогитара усиливают ощущение древнего ритуала, который превращается в яркое и странное музыкальное видение. Энергично и немного истерично... Жанр как: кинематография фолк, неофолк, оркестр и эпическое настроение. Используется электро гитара, акустические ударные, флейта, низкие духовые, струнные и вилончель.


",20200823085122000,20200811065003000,,,default,,,,,,,,,,,0,,,музыка некто,,083feed8-0f2f-4613-aade-ab078ad09d15,,,,,text/markdown,music,,,,,
Биела,"





## Саундтрек: загадочный, мистический, эзотерический оркестр.

#### Эпический скандинавский фольклёр. Мрачный эпос, таинственное фэнтези, эфирный фолк. Фолкотроника, эмбиент и страшный фонк. Сумеречный скрытный и запретный оккультизм. Слияние восточного и западного мотива. Воплощается мифологическая атмосфера и хтонический нигилизм. Ритм — синкопированный. Слияне магической энергии, арканическая ритуальность и спиритуальность.

***

![биела](https://files.mastodon.social/media_attachments/files/116/744/273/973/882/200/original/08b24cd31d79479e.webp)

***

#### Изображение тёмное, на чёрном фоне показано светящееся скелетоподобное животное с длинными изогнутыми рогами — похоже это скелет оленя в стиле глитч/неон: видны череп, шейные и грудные позвонки, рёбра и частично передняя лапа. Цвета: холодные неоновые (голубой, белый, слегка пурпурный), изображение зернистое и искажённое.

#### Белая лань с помощью [[алгиз|руны]] осталась [[одной|одиночество]] из выживших. В отличие от тёмной лани, которая была связана с помощью другой руны и находилась [[по другую сторону | на_гране]] междумирья. Её суть — [[уничтожить всё | утопическое_будущее]], на собственном пути!

***

#### При создание использовались следующие музыкальные и не музыкальные инструменты: Флейта, тальхарпа, пианино, ковбел, акустические и синтезированные ударные, а также перкуссии, синтезатор

***






  
      
  

  
    
  

",20260823234555960,20131220095114000,,zqwy,default,,https://files.mastodon.social/media_attachments/files/116/744/273/973/882/200/original/08b24cd31d79479e.webp,2024-11-03,freshtunes,🦌,19,1,,AEA0Q2448892,,0,1,1,музыка фолк фонк эмбиент оркестр саундтрек скандинавия,,3f530dca-624f-484d-9da6-2492f742d400,,,,1,text/markdown,music,5063600285227,https://archive.org/details/zqwy_biela,https://archive.org/download/zqwy_biela/1_zqwy_biela.mp3,https://archive.org/download/zqwy_biela/1_zqwy_biela.wav,1.2 (adding footer) 1.3 add scrapping from field 1.3.1 (fix logo url)
В лесу,"#### Я не придумал пока-что описание, но трек уже лежит тут для прослушивание",20260823234157238,20220209142002000,infor,,,,,2026-03-24,,,,,,,,,,,музыка дроун эмбиент,,5bd8999c-83f2-4189-8833-3534c7eb7ed7,,,,,text/markdown,music,,https://archive.org/details/zqwy_in_forest,,,
Глиома,"
#### В преддверии [самозабвенного уничтожение человечества](), наиболее уязвимым объектом для массовой атаки, оказался человеческий мозг. [Кибер логос]() в ходе успешного анализа уязвимостей, сформулировал скрытый способ атаки с помощью ярких и быстро мигающих вспышек. Поэтому реакция мозга доведенна до абсурда в отсутствие разнообразности? Исход человека привязан с бегом Акса в пустыни в поисках лабиринта. Гибель разума приводит к пустоте и инертном в бесконечном цикле бури пустоты которая засасывает внутрь своей нескончаемым разнообразие и в следствие – единообразие",20221221202033000,20211102055114000,,,,,https://ia902908.us.archive.org/30/items/zqwy_glioma/zqwy_glioma_cover_site.webp,2024-11-14,,,,,,,,,,,музыка,"{""3c8d3012-8051-42ef-a0a4-9c21368f9a7a"":{""to"":""4cf18f75-a523-418d-8e75-44e1cdadb4ee"",""type"":""unknown""},""d6cf4e9d-1890-45bb-bbad-89741e8027a0"":{""to"":""36b8a813-5827-45bc-9250-bce081f0743f"",""type"":""unknown""}}",ced8a403-ea2e-4242-b470-4bcc2e3a292f,,,,,text/markdown,music,,https://archive.org/details/zqwy_glioma,,,"1 (adding cover) 2 (adding url acrhive, text)"
